step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
14,CASH_IN,276265.94,C1631739891,18936.0,295201.94,C1172225915,0.0,121725.22,0
41,CASH_OUT,58944.83,C1145758705,74553.0,15608.17,C936622226,358333.25,417278.06,0
326,CASH_IN,116099.25,C346961613,1.0678868e+07,1.0794967e+07,C1220150402,398484.94,282385.7,0
282,CASH_OUT,54570.43,C971059641,0.0,0.0,C221116711,1.2015489e+06,1.2561194e+06,0
155,CASH_IN,428853.75,C1591920227,36574.0,465427.75,C582467453,64365.46,0.0,0
15,CASH_OUT,89856.03,C811375241,0.0,0.0,C1113848808,92769.28,182625.31,0
236,PAYMENT,5971.27,C1267748295,50590.0,44618.73,M1342967888,0.0,0.0,0
355,CASH_IN,349062.62,C1654322180,2.9652154e+07,3.0001216e+07,C1188823327,1.3196681e+06,970605.56,0
177,CASH_OUT,222877.25,C1289552968,0.0,0.0,C2102462654,233662.69,456539.94,0
162,CASH_IN,173005.05,C1286228097,6.3813115e+06,6.5543165e+06,C803239197,682199.3,428215.44,0
299,CASH_IN,442833.75,C1783630510,4.6364775e+06,5.079311e+06,C1763570403,2.9053498e+06,2.462516e+06,0
10,PAYMENT,28311.33,C1676874087,215406.0,187094.67,M2086268277,0.0,0.0,0
139,CASH_IN,118771.59,C1591039567,2.5590342e+06,2.6778058e+06,C620337443,226778.56,108006.98,0
227,PAYMENT,17187.34,C1187392224,0.0,0.0,M145021084,0.0,0.0,0
280,PAYMENT,22876.09,C1796397578,17052.0,0.0,M1069425062,0.0,0.0,0
328,PAYMENT,24036.57,C1867764609,63744.0,39707.43,M539996968,0.0,0.0,0
258,PAYMENT,3271.87,C21557618,0.0,0.0,M612788132,0.0,0.0,0
354,PAYMENT,21558.34,C514724675,77883.46,56325.12,M1776469050,0.0,0.0,0
378,TRANSFER,924866.9,C278488569,1076.0,0.0,C1830839609,1.3088088e+06,2.2336758e+06,0
235,TRANSFER,740560.25,C359132796,0.0,0.0,C1922408625,5.090783e+06,5.831343e+06,0
181,CASH_OUT,73390.65,C233304360,129804.0,56413.35,C601235674,0.0,73390.65,0
158,PAYMENT,8146.67,C1844755324,0.0,0.0,M1861203339,0.0,0.0,0
298,CASH_IN,319368.72,C552282882,51499.0,370867.72,C1090399089,1.0089085e+06,689539.75,0
259,CASH_IN,107072.9,C1852153246,29869.0,136941.9,C474928904,173956.56,66883.67,0
333,PAYMENT,37292.47,C1800716361,110790.21,73497.74,M1741240507,0.0,0.0,0
642,PAYMENT,6447.8,C1437122145,84719.0,78271.2,M1425626724,0.0,0.0,0
306,CASH_OUT,4.2625925e+06,C1909269068,4.2625925e+06,0.0,C1758624073,237422.88,4.500015e+06,1
136,PAYMENT,39643.72,C1622262158,0.0,0.0,M731718513,0.0,0.0,0
15,CASH_IN,88083.96,C1268288840,3.579321e+06,3.667405e+06,C1860420462,285745.4,197661.45,0
236,CASH_OUT,239430.9,C1413904992,20801.0,0.0,C1189017285,497177.66,736608.56,0
42,PAYMENT,14647.25,C875337072,0.0,0.0,M1763075402,0.0,0.0,0
636,CASH_OUT,729078.3,C1723552410,729078.3,0.0,C1531239198,44848.47,773926.8,1
180,CASH_IN,50924.49,C1671034251,4.69743e+06,4.7483545e+06,C1931980497,467605.5,416681.0,0
225,CASH_OUT,46755.64,C2133520289,0.0,0.0,C625166287,857895.1,904650.75,0
42,CASH_OUT,23600.19,C1366688372,276749.0,253148.81,C1439940308,231884.98,255485.19,0
164,CASH_IN,147028.72,C52839910,131479.0,278507.72,C1251887134,5.2927085e+06,5.14568e+06,0
400,CASH_IN,253604.61,C2041726401,6.8348325e+06,7.088437e+06,C521882614,1.611208e+06,1.3576034e+06,0
276,CASH_OUT,212636.17,C1144198160,0.0,0.0,C1347457395,328068.8,540705.0,0
178,CASH_OUT,183315.81,C1053131746,214.0,0.0,C1229901003,377312.06,560627.9,0
185,PAYMENT,13703.31,C1541496738,6284.0,0.0,M1207820197,0.0,0.0,0
253,CASH_IN,261758.45,C1369952534,6.9284225e+06,7.190181e+06,C797309080,555483.9,293725.4,0
522,CASH_IN,39746.95,C1921398079,1.0778289e+07,1.0818036e+07,C1196791610,296478.78,256731.83,0
141,CASH_OUT,57708.51,C278767925,0.0,0.0,C758612630,1.31683e+06,1.1610632e+06,0
709,TRANSFER,176745.48,C1149244093,135.0,0.0,C2005823953,0.0,176745.48,0
16,CASH_IN,533780.8,C895006251,6.174267e+06,6.708048e+06,C618786461,3.0585378e+06,3.1458e+06,0
14,PAYMENT,3604.3,C1417561613,972759.2,969154.9,M77776271,0.0,0.0,0
546,PAYMENT,11933.2,C1834170695,0.0,0.0,M615734742,0.0,0.0,0
328,CASH_IN,209584.62,C387444315,281.0,209865.62,C1574198689,117555.27,0.0,0
38,CASH_OUT,43073.33,C205081371,0.0,0.0,C1549186254,169352.45,212425.8,0
304,CASH_OUT,198022.78,C1296069362,133.0,0.0,C1734025394,187364.23,385387.03,0
33,CASH_IN,444585.38,C939159048,1.3235181e+06,1.7681035e+06,C968882591,944179.3,499593.94,0
159,TRANSFER,886785.6,C806712339,20603.0,0.0,C750846939,674607.8,1.5613935e+06,0
193,DEBIT,3061.75,C894487970,69405.0,66343.25,C680268684,1.1387748e+06,1.1418365e+06,0
536,TRANSFER,624686.06,C1401632766,624686.06,0.0,C1786081115,0.0,0.0,1
586,CASH_OUT,1e+07,C1952386173,1e+07,0.0,C1054420449,211048.11,1.0211048e+07,1
429,PAYMENT,5033.28,C1749416190,15072.97,10039.69,M1525407233,0.0,0.0,0
325,CASH_IN,285469.72,C1302215873,304444.0,589913.75,C639884352,11351.0,0.0,0
278,CASH_OUT,300996.38,C732797769,101.0,0.0,C890026541,41646.64,342643.0,0
214,CASH_OUT,44556.04,C1170155729,14164.0,0.0,C1146996852,8274.09,52830.13,0
183,PAYMENT,6660.87,C467489563,4150.0,0.0,M1281316680,0.0,0.0,0
517,PAYMENT,6996.1,C1503762134,86.0,0.0,M263161011,0.0,0.0,0
37,CASH_IN,27801.01,C2041762063,2.387565e+07,2.390345e+07,C1473426058,1.4056449e+06,1.3778439e+06,0
538,CASH_IN,144310.7,C2108081893,20818.0,165128.7,C337865772,16351.15,0.0,0
305,TRANSFER,1.1419098e+06,C1218622100,0.0,0.0,C255562463,1.0281428e+07,1.1423337e+07,0
351,CASH_OUT,376586.16,C255772139,0.0,0.0,C1645111878,3.8926388e+06,4.269225e+06,0
406,CASH_OUT,96981.33,C86644890,0.0,0.0,C115083339,1.3450029e+06,1.4419842e+06,0
139,CASH_OUT,88308.27,C40182910,11123.0,0.0,C2071897080,0.0,88308.27,0
376,TRANSFER,248123.95,C551643409,248123.95,0.0,C634586560,0.0,0.0,1
334,CASH_IN,184645.27,C923192164,2.308202e+06,2.4928472e+06,C1247043721,956399.94,771754.7,0
351,CASH_OUT,27550.27,C304884495,0.0,0.0,C91065745,1.8286872e+06,1.8562376e+06,0
141,CASH_IN,247724.69,C1941659098,10130.0,257854.69,C1848979416,325499.38,77774.66,0
183,TRANSFER,444641.62,C2091883362,104740.0,0.0,C652285552,1.6543044e+06,2.098946e+06,0
329,CASH_OUT,520689.6,C390845675,198333.0,0.0,C1783483543,0.0,520689.6,0
275,CASH_IN,171283.22,C1466997956,52009.0,223292.22,C786726023,0.0,0.0,0
652,TRANSFER,762782.7,C1580037772,762782.7,0.0,C1784796594,0.0,0.0,1
306,CASH_IN,280478.94,C2036397503,2.420261e+06,2.70074e+06,C1728953170,1.4170485e+06,1.1365696e+06,0
369,PAYMENT,8358.4,C1848636218,87006.0,78647.6,M432253507,0.0,0.0,0
260,TRANSFER,3.0073215e+06,C966039317,0.0,0.0,C421325835,3.6510232e+06,6.658345e+06,0
235,CASH_OUT,315399.22,C540128139,995.0,0.0,C2050206573,3.6791362e+06,3.9945355e+06,0
207,CASH_OUT,46420.11,C828371311,312397.0,265976.88,C1453385966,673002.7,719422.8,0
145,TRANSFER,66448.19,C1788535052,66448.19,0.0,C130229315,0.0,0.0,1
230,PAYMENT,8497.25,C1311547998,0.0,0.0,M865394581,0.0,0.0,0
19,TRANSFER,45630.89,C1993550645,0.0,0.0,C1141820266,1.7740109e+06,2.4304935e+06,0
332,CASH_IN,305760.53,C1023393060,99692.66,405453.2,C1944617014,1.4405615e+06,1.1348009e+06,0
356,CASH_OUT,166996.03,C311817480,15102.0,0.0,C655142267,920.12,167916.16,0
299,CASH_OUT,200162.81,C1602440281,0.0,0.0,C718742281,821387.06,1.0215499e+06,0
15,PAYMENT,4521.27,C1043122910,0.0,0.0,M357891508,0.0,0.0,0
17,CASH_IN,139268.12,C1781366873,2.661847e+06,2.8011152e+06,C1910340605,6.034249e+06,5.8949805e+06,0
610,TRANSFER,284435.3,C1036045392,91984.0,0.0,C1311909030,0.0,284435.3,0
18,CASH_IN,241160.84,C1555927566,1445.0,242605.84,C1549830536,43336.76,0.0,0
17,CASH_IN,43158.94,C764238979,4.468478e+06,4.511637e+06,C686592713,5.0874415e+06,5.0442825e+06,0
157,CASH_OUT,69596.48,C1272175868,3321.0,0.0,C1509226543,0.0,69596.48,0
35,PAYMENT,8497.92,C1696098359,630707.8,622209.9,M1257500658,0.0,0.0,0
348,PAYMENT,28109.88,C1886677463,0.0,0.0,M735458133,0.0,0.0,0
487,CASH_OUT,609400.9,C1997658145,609400.9,0.0,C688618982,1.6200654e+06,2.2294662e+06,1
255,PAYMENT,3005.62,C363464521,808.0,0.0,M1923180992,0.0,0.0,0
132,PAYMENT,13005.65,C656885017,0.0,0.0,M1330688201,0.0,0.0,0
357,TRANSFER,653151.56,C1103031078,653151.56,0.0,C1355105404,0.0,0.0,1
396,PAYMENT,1146.82,C192807859,20505.0,19358.18,M1396318356,0.0,0.0,0
257,PAYMENT,4383.96,C2132304439,0.0,0.0,M1545281184,0.0,0.0,0
354,TRANSFER,35666.63,C85049341,19789.0,0.0,C1106673534,1.4479022e+06,1.4835689e+06,0
328,CASH_OUT,2.2993305e+06,C1269100700,2.2993305e+06,0.0,C12644050,1.4030922e+06,3.7364575e+06,1
188,PAYMENT,2662.6,C4255161,0.0,0.0,M284502345,0.0,0.0,0
225,CASH_OUT,49726.68,C77636307,0.0,0.0,C914084924,1.8468765e+06,1.8966031e+06,0
257,CASH_IN,202587.5,C313838599,51502.0,254089.5,C1475422856,529127.5,326539.97,0
205,TRANSFER,128572.96,C1018357975,128572.96,0.0,C202489390,0.0,0.0,1
311,CASH_OUT,98050.29,C1194075950,98050.29,0.0,C2037283628,0.0,98050.29,1
379,PAYMENT,6538.79,C1334632901,0.0,0.0,M993597616,0.0,0.0,0
381,PAYMENT,3786.67,C6630622,359829.0,356042.34,M573684908,0.0,0.0,0
322,CASH_OUT,85537.88,C1523300087,10422.0,0.0,C1246179604,225898.48,311436.38,0
16,CASH_IN,9240.07,C2107124731,1.5736566e+06,1.5828966e+06,C1728766751,1.2750309e+07,1.2741069e+07,0
396,CASH_IN,296803.44,C131903092,2.8590338e+07,2.888714e+07,C1312765425,538618.5,412539.34,0
182,CASH_IN,284218.16,C1653179771,7.4638195e+06,7.7480375e+06,C410414021,492716.62,208498.48,0
297,PAYMENT,25466.02,C918797792,10385.0,0.0,M1055975988,0.0,0.0,0
161,CASH_IN,89095.83,C1920304176,3.8959705e+06,3.9850662e+06,C1158218198,429002.5,339906.66,0
186,TRANSFER,1.543226e+06,C176602117,0.0,0.0,C507604891,3.4975728e+06,5.040799e+06,0
349,CASH_OUT,140610.45,C496765866,0.0,0.0,C1580436379,2.9181352e+06,3.0587458e+06,0
18,PAYMENT,12449.08,C289970469,0.0,0.0,M797162455,0.0,0.0,0
226,PAYMENT,57676.13,C1148750928,33999.0,0.0,M1370188791,0.0,0.0,0
404,CASH_OUT,31133.75,C1635304417,17064.0,0.0,C1783804733,874619.44,905753.2,0
596,PAYMENT,3608.93,C496322094,0.0,0.0,M1019882842,0.0,0.0,0
33,TRANSFER,1.6907124e+06,C590563707,77386.0,0.0,C164163741,1.7004022e+06,3.3911148e+06,0
495,CASH_OUT,378392.06,C141538368,0.0,0.0,C1680930019,1.1387559e+06,1.517148e+06,0
207,PAYMENT,4175.97,C1304212085,0.0,0.0,M490961833,0.0,0.0,0
185,CASH_IN,122837.7,C1215257756,8.0,122845.7,C962542801,3.2999485e+06,3.1171125e+06,0
286,PAYMENT,54941.52,C1884147621,19153.67,0.0,M1099417052,0.0,0.0,0
304,CASH_IN,48956.05,C30560860,5.046785e+06,5.095741e+06,C104022274,859760.1,810804.06,0
209,CASH_IN,414116.22,C302234902,517.0,414633.22,C533031739,0.0,0.0,0
17,CASH_OUT,305627.0,C1600031018,305627.0,0.0,C1971951800,7.699847e+06,8.005474e+06,1
208,CASH_OUT,129446.64,C1226101098,181.0,0.0,C521790816,0.0,129446.64,0
207,CASH_IN,191109.97,C209026876,183893.0,375002.97,C584837239,0.0,0.0,0
259,CASH_OUT,271875.56,C2141183569,318.0,0.0,C1504685216,0.0,271875.56,0
211,CASH_OUT,355878.16,C1799677486,0.0,0.0,C1239713641,2.1435222e+06,2.4994005e+06,0
8,CASH_IN,66304.6,C821594633,2.320094e+07,2.3267244e+07,C236282128,382283.1,994.76,0
214,PAYMENT,2527.52,C266011280,12584.0,10056.48,M321769666,0.0,0.0,0
306,CASH_OUT,521986.28,C1336256989,521986.28,0.0,C1335226757,3.3928962e+06,3.9148825e+06,1
212,PAYMENT,1621.38,C185492150,119916.63,118295.25,M1794457012,0.0,0.0,0
380,PAYMENT,880.39,C1855698977,31433.0,30552.61,M1413034278,0.0,0.0,0
160,PAYMENT,3948.98,C441970328,505817.88,501868.88,M1232770909,0.0,0.0,0
395,CASH_OUT,87014.38,C914052338,29493.0,0.0,C85396628,1.2333619e+07,1.2420634e+07,0
561,TRANSFER,615954.94,C114731289,615954.94,0.0,C236726278,0.0,0.0,1
355,PAYMENT,5893.11,C2025255921,185982.06,180088.95,M1667116264,0.0,0.0,0
330,TRANSFER,722372.9,C286929182,160202.0,0.0,C1424866599,3.077463e+06,3.7998358e+06,0
284,CASH_OUT,278245.34,C1790205895,0.0,0.0,C866970718,1.276166e+07,1.3039905e+07,0
13,CASH_OUT,370355.78,C98583267,531937.0,161581.2,C266071056,956943.56,1.1912e+06,0
10,CASH_IN,196843.47,C1888481569,988522.8,1.1853662e+06,C1659797072,327230.78,130387.31,0
288,PAYMENT,69882.74,C23271892,6193.0,0.0,M771276894,0.0,0.0,0
44,CASH_OUT,119893.21,C2033764967,89148.0,0.0,C1982686686,5.0535315e+06,5.5342785e+06,0
235,CASH_OUT,161122.66,C1801329823,99075.0,0.0,C1753343577,42280.17,203402.83,0
240,TRANSFER,806850.06,C321712696,806850.06,0.0,C1645115422,0.0,0.0,1
559,CASH_OUT,1.4316349e+06,C9507698,1.4316349e+06,0.0,C1280077682,0.0,1.4316349e+06,1
398,CASH_IN,314708.5,C57005964,4.50668e+06,4.8213885e+06,C2132456058,1.6503886e+06,1.3356801e+06,0
21,PAYMENT,2557.9,C434180402,9275.0,6717.1,M2006143421,0.0,0.0,0
521,TRANSFER,525155.8,C66538497,525155.8,0.0,C586669216,0.0,0.0,1
356,CASH_IN,95704.36,C2009468747,11690.0,107394.36,C832791531,286729.78,191025.44,0
163,TRANSFER,1.2340892e+06,C2060295160,40379.0,0.0,C497774014,8326.5,1.2424158e+06,0
262,TRANSFER,106060.93,C328418459,0.0,0.0,C606520606,210901.75,316962.7,0
211,PAYMENT,3791.29,C1962604867,39695.0,35903.71,M108826020,0.0,0.0,0
253,PAYMENT,12160.07,C1846487277,69774.0,57613.93,M1069165936,0.0,0.0,0
17,CASH_IN,132750.95,C1644898243,236506.89,369257.84,C539517785,1.4569562e+06,1.3242054e+06,0
371,PAYMENT,3899.72,C899970235,76917.0,73017.28,M264842214,0.0,0.0,0
228,CASH_OUT,116236.49,C564387906,18655.0,0.0,C1795487001,0.0,116236.49,0
229,CASH_IN,200292.31,C538763912,4.60438e+06,4.804672e+06,C1772053439,1.9316865e+06,1.7313942e+06,0
209,CASH_OUT,222762.22,C2051726947,0.0,0.0,C872145274,516346.62,739108.9,0
308,TRANSFER,569367.75,C1885513603,414463.72,0.0,C857884419,2.6885652e+06,3.257933e+06,0
41,CASH_OUT,39913.93,C186755652,0.0,0.0,C1055424374,1.179047e+06,1.218961e+06,0
162,CASH_OUT,96885.46,C1652148922,21206.0,0.0,C1819425682,750335.06,847220.56,0
133,CASH_IN,73474.15,C158105938,1.0157042e+07,1.0230516e+07,C1029931930,862936.9,789462.75,0
397,CASH_OUT,2401.75,C1383538518,0.0,0.0,C1441580557,348166.56,350568.3,0
228,PAYMENT,27716.1,C1906784225,101395.53,73679.43,M307896797,0.0,0.0,0
179,DEBIT,948.95,C1400767873,25085.0,24136.05,C748768350,84900.27,85849.22,0
375,PAYMENT,21537.58,C116883712,12460.0,0.0,M852986001,0.0,0.0,0
321,CASH_OUT,35350.74,C1180921277,33188.69,0.0,C2135054194,531983.1,567333.9,0
181,PAYMENT,25782.04,C24011286,34838.59,9056.55,M734733958,0.0,0.0,0
251,CASH_IN,284840.97,C725112505,7.3293145e+06,7.6141555e+06,C234366354,761212.6,476371.62,0
